 Fri Apr 08 12:54:08 2022

 Grid data:
 i =      1      2      3      4      5      6
 ql=  0.000 -0.600  0.000 -0.210  0.000  0.000
 dq=  0.000  0.050  0.030  0.030  0.000  0.000
 nq=      1     60      8     15      1      1

 Note: the inertia tensor is equal to Bij=A^(5/3)*Tij/100 [hbar^2/MeV] and the friction tensor is Gij=A^(4/3)*Tij in [hbar] units

----------------------------------------------------------------------------------------------------------------------------------
   eta   q2    q3    q4    q5    q6     BS      BC      BK      BW      BF    R12/R0    Bx      Bz      BQ     vol      c      Rn
                                       T11     T12     T13     T14     T22     T23     T24     T33     T34     T44
    1     2     3     4     5     6      7       8       9      10      11      12      13      14      15      16      17     18
----------------------------------------------------------------------------------------------------------------------------------

  0.00 -0.60  0.00 -0.21  0.00  0.00 1.06922 0.98135 1.05766  1.0383  0.5012  0.5914  1.0439  0.7538 -0.2950  1.0000  0.705  1.054
                                       2.223   0.000   0.000   0.000   0.245   0.001  -0.013   0.238   0.000   0.209 <--inertia
                                       2.355   0.000   0.000   0.000   0.440   0.000  -0.078   0.389   0.000   0.398 <--friction

  0.00 -0.60  0.00 -0.18  0.00  0.00 1.05871 0.98226 1.04884  1.0225  0.5012  0.5878  1.0468  0.7548 -0.2956  1.0000  0.710  1.068
                                       2.220   0.000   0.000   0.000   0.244   0.001  -0.020   0.215   0.000   0.208 <--inertia
                                       2.366   0.000  -0.000  -0.000   0.426   0.000  -0.086   0.352   0.000   0.397 <--friction

  0.00 -0.60  0.00 -0.15  0.00  0.00 1.05028 0.98296 1.04187  1.0096  0.5013  0.5840  1.0493  0.7552 -0.2969  1.0000  0.715  1.082
                                       2.219   0.000   0.000   0.000   0.243   0.001  -0.027   0.194   0.000   0.208 <--inertia
                                       2.370   0.000  -0.000  -0.000   0.412   0.000  -0.095   0.315   0.000   0.395 <--friction

  0.00 -0.60  0.00 -0.12  0.00  0.00 1.04387 0.98346 1.03668  1.0013  0.5013  0.5801  1.0513  0.7549 -0.2987  1.0000  0.720  1.096
                                       2.220   0.000   0.000   0.000   0.241   0.001  -0.034   0.174   0.000   0.208 <--inertia
                                       2.367   0.000  -0.000  -0.000   0.396   0.000  -0.103   0.280   0.000   0.393 <--friction

  0.00 -0.60  0.00 -0.09  0.00  0.00 1.03938 0.98375 1.03317  1.0000  0.5000  0.5760  1.0528  0.7539 -0.3012  1.0000  0.725  1.109
                                       2.222   0.000   0.000   0.000   0.239   0.001  -0.042   0.155   0.000   0.208 <--inertia
                                       2.358   0.000  -0.000  -0.000   0.380   0.000  -0.111   0.246   0.000   0.391 <--friction

  0.00 -0.60  0.00 -0.06  0.00  0.00 1.03670 0.98383 1.03121  1.0000  0.5000  0.5717  1.0538  0.7522 -0.3044  1.0000  0.730  1.123
                                       2.227   0.000   0.000   0.000   0.236   0.000  -0.050   0.138   0.000   0.209 <--inertia
                                       2.344   0.000  -0.000  -0.000   0.363   0.000  -0.118   0.214   0.000   0.388 <--friction

  0.00 -0.60  0.00 -0.03  0.00  0.00 1.03568 0.98371 1.03064  1.0000  0.5000  0.5672  1.0543  0.7498 -0.3082  1.0000  0.735  1.136
                                       2.235   0.000   0.000   0.000   0.233   0.000  -0.058   0.121   0.000   0.210 <--inertia
                                       2.325   0.000   0.000  -0.000   0.347   0.000  -0.125   0.186   0.000   0.386 <--friction

  0.00 -0.60  0.00  0.00  0.00  0.00 1.03619 0.98337 1.03131  1.0000  0.5000  0.5626  1.0543  0.7466 -0.3126  1.0000  0.740  1.149
                                       2.244   0.000   0.000   0.000   0.229   0.000  -0.067   0.106   0.000   0.211 <--inertia
                                       2.303   0.000   0.000  -0.000   0.330   0.000  -0.132   0.160   0.000   0.383 <--friction

